objectid,nuts318cd,nuts318nm,GDHI_2010,GDHI_2011,GDHI_2012,GDHI_2013,GDHI_2014,GDHI_2015,GDHI_2016,GDHI_2017,GDHI_2018,Growth_2010,Growth_2011,Growth_2012,Growth_2013,Growth_2014,Growth_2015,Growth_2016,Growth_2017,Growth_2018
54,UKG22,Shropshire CC,5012,5148,5273,5395,5570,5908,6066,6336,6678,0.9,2.7,2.4,2.3,3.2,6.1,2.7,4.4,5.4
55,UKG23,Stoke-on-Trent,2985,3083,3193,3311,3393,3528,3600,3735,3962,2.1,3.3,3.6,3.7,2.5,4,2,3.7,6.1
56,UKG24,Staffordshire CC,13104,13306,13736,14295,14794,15595,15671,16136,17026,1.4,1.5,3.2,4.1,3.5,5.4,0.5,3,5.5
57,UKG31,Birmingham,13235,13542,14010,14394,15128,15810,16202,16510,17442,3.3,2.3,3.5,2.7,5.1,4.5,2.5,1.9,5.6
58,UKG32,Solihull,3679,3797,3931,4182,4352,4642,4722,4870,5189,1,3.2,3.5,6.4,4.1,6.6,1.7,3.1,6.6
59,UKG33,Coventry,4110,4233,4379,4555,4742,4969,5173,5398,5631,3.3,3,3.4,4,4.1,4.8,4.1,4.3,4.3
60,UKG36,Dudley,4259,4330,4504,4645,4801,4996,5105,5209,5413,3.1,1.7,4,3.1,3.3,4.1,2.2,2,3.9
61,UKG37,Sandwell,3524,3617,3760,3860,4055,4268,4380,4496,4717,3.3,2.6,4,2.6,5.1,5.3,2.6,2.6,4.9
62,UKG38,Walsall,3251,3332,3447,3590,3772,3929,4047,4222,4420,2.3,2.5,3.5,4.1,5.1,4.2,3,4.3,4.7
63,UKG39,Wolverhampton,3087,3132,3217,3316,3444,3586,3715,3858,4079,2,1.4,2.7,3.1,3.9,4.1,3.6,3.8,5.7
64,UKH11,Peterborough,2610,2671,2786,2896,3067,3239,3352,3473,3612,3.3,2.3,4.3,4,5.9,5.6,3.5,3.6,4
65,UKH12,Cambridgeshire CC,10827,10982,11526,12083,12771,13438,13827,14334,15253,2,1.4,5,4.8,5.7,5.2,2.9,3.7,6.4
66,UKH14,Suffolk,11679,11844,12379,12746,13186,13953,14267,14773,15460,1.3,1.4,4.5,3,3.4,5.8,2.3,3.5,4.7
67,UKH15,Norwich and East Norfolk,5240,5410,5646,5804,5949,6310,6207,6330,6625,3.6,3.2,4.4,2.8,2.5,6.1,-1.6,2,4.7
68,UKH16,North and West Norfolk,3800,3929,4103,4200,4320,4505,4553,4660,4861,4.1,3.4,4.4,2.4,2.9,4.3,1,2.4,4.3
69,UKH17,Breckland and South Norfolk,3875,4010,4204,4276,4439,4706,4876,5043,5329,3.7,3.5,4.8,1.7,3.8,6,3.6,3.4,5.7
70,UKH21,Luton,2573,2654,2767,2844,2990,3118,3319,3460,3481,4.3,3.1,4.2,2.8,5.1,4.3,6.4,4.2,0.6
71,UKH23,Hertfordshire,22436,22821,24005,25479,26759,28501,29137,30234,32063,0.4,1.7,5.2,6.1,5,6.5,2.2,3.8,6
72,UKH24,Bedford,2645,2717,2800,2913,3045,3285,3416,3569,3773,3.1,2.7,3.1,4.1,4.5,7.9,4,4.5,5.7
73,UKH25,Central Bedfordshire,4498,4583,4812,5098,5273,5601,5790,5958,6250,3.1,1.9,5,5.9,3.4,6.2,3.4,2.9,4.9
74,UKH31,Southend-on-Sea,2788,2843,2939,3065,3192,3388,3464,3594,3843,3.1,2,3.4,4.3,4.1,6.1,2.3,3.8,6.9
75,UKH32,Thurrock,2370,2413,2502,2582,2737,2884,3018,3137,3274,2.5,1.8,3.7,3.2,6,5.4,4.7,3.9,4.4
76,UKH34,Essex Haven Gateway,7280,7483,7804,8112,8365,8826,9065,9396,9894,0.4,2.8,4.3,3.9,3.1,5.5,2.7,3.6,5.3
77,UKH35,West Essex,5496,5674,5945,6149,6372,7024,7147,7481,7992,-0.2,3.3,4.8,3.4,3.6,10.2,1.8,4.7,6.8
78,UKH36,Heart of Essex,5895,5983,6213,6408,6712,7106,7371,7706,8190,0.1,1.5,3.8,3.1,4.7,5.9,3.7,4.5,6.3
79,UKH37,Essex Thames Gateway,5914,6019,6243,6377,6534,6908,7120,7379,7797,0.1,1.8,3.7,2.2,2.5,5.7,3.1,3.6,5.7
